Stations_id,Bezugszeitraum,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
1282,1981-2010,65,57,66,50,65,86,99,92,70,57,70,75,851
1283,1981-2010,155,110,135,74,88,97,104,93,113,121,133,163,1386
1290,1981-2010,70,66,69,62,96,79,86,79,59,74,74,83,896
1291,1981-2010,76,56,63,45,50,69,69,67,62,62,62,78,758
1292,1981-2010,73,55,59,43,62,77,80,63,70,65,64,81,792
1293,1981-2010,113,87,93,65,83,77,91,79,95,94,97,117,1090
1294,1981-2010,78,77,102,98,144,189,188,186,124,85,88,94,1452
1296,1981-2010,69,49,59,54,78,87,87,67,72,61,68,72,821
1297,1981-2010,49,38,50,43,66,70,68,58,56,48,54,57,655
1298,1981-2010,67,65,67,56,72,84,77,75,68,68,63,73,836
1300,1981-2010,127,90,109,69,84,89,89,92,94,96,115,128,1184
1301,1981-2010,63,48,59,46,69,72,70,60,64,52,64,70,737
1303,1981-2010,89,66,79,59,77,87,85,90,77,84,84,93,970
1304,1981-2010,78,56,61,45,54,67,72,70,64,67,69,78,781
1305,1981-2010,77,55,67,42,56,72,81,67,73,68,68,75,800
1309,1981-2010,50,44,54,44,69,80,83,74,61,51,55,61,725
1311,1981-2010,46,44,54,55,97,89,89,76,62,63,59,60,797
1314,1981-2010,38,36,46,47,66,62,78,68,48,43,54,48,634
1315,1981-2010,68,62,77,68,94,88,97,61,75,95,79,90,955
1317,1981-2010,61,45,58,40,57,66,62,58,55,46,59,67,674
1318,1981-2010,98,76,81,59,75,88,91,73,78,81,84,101,984
1319,1981-2010,58,45,58,48,65,77,70,66,64,52,58,68,729
1320,1981-2010,31,26,37,35,57,52,60,48,45,33,41,43,507
1322,1981-2010,57,45,52,42,57,61,65,55,58,54,58,65,668
1325,1981-2010,54,48,63,65,107,112,118,101,77,66,66,71,946
1327,1981-2010,38,41,48,48,64,66,66,60,56,48,46,45,625
1328,1981-2010,63,49,53,49,60,62,70,47,59,60,56,66,693
1332,1981-2010,56,48,63,51,84,94,108,101,68,56,59,66,854
1333,1981-2010,57,59,67,56,70,93,103,86,81,61,71,71,876
1336,1981-2010,82,58,66,48,58,71,78,72,65,68,68,80,814
1340,1981-2010,65,51,61,48,73,76,81,62,70,53,69,74,783
1342,1981-2010,47,39,43,32,47,60,58,53,46,38,42,50,555
1343,1981-2010,77,71,99,83,112,152,150,142,106,82,90,91,1256
1346,1981-2010,127,96,116,99,159,144,152,146,142,168,138,150,1637
1350,1981-2010,40,34,40,32,54,56,59,58,51,32,41,44,540
1351,1981-2010,45,41,52,52,89,83,83,72,57,63,56,57,748
1357,1981-2010,121,93,109,67,86,93,106,98,100,99,109,130,1210
1358,1981-2010,86,81,96,74,87,102,119,122,89,75,97,102,1130
1365,1981-2010,53,43,52,49,80,78,92,71,63,64,57,63,764
1366,1981-2010,51,45,58,58,90,106,121,104,81,61,60,66,901
1370,1981-2010,112,103,132,111,146,179,204,201,142,101,124,128,1683
1374,1981-2010,89,67,70,49,62,68,72,54,65,68,79,95,838
1375,1981-2010,50,41,48,39,49,60,65,55,43,41,47,55,593
1376,1981-2010,83,59,71,47,58,76,83,72,67,70,71,83,840
1377,1981-2010,46,35,41,38,46,58,59,52,46,41,44,48,552
1379,1981-2010,73,49,59,42,55,76,80,77,86,95,73,74,839
1382,1981-2010,94,89,122,105,137,171,195,185,132,93,109,109,1540
1384,1981-2010,120,97,98,74,79,92,100,70,89,98,100,121,1137
1391,1981-2010,66,52,63,48,72,87,94,76,69,67,63,73,829
1397,1981-2010,62,55,65,55,72,80,102,102,65,51,70,72,851
1398,1981-2010,58,51,58,47,64,72,85,57,62,62,61,68,746
1401,1981-2010,53,46,69,63,100,105,126,121,76,61,65,64,950
1404,1981-2010,71,54,57,46,71,68,69,64,70,60,63,70,763
1408,1981-2010,103,91,104,77,85,74,85,78,88,85,94,108,1070
1411,1981-2010,89,71,94,68,86,94,96,76,95,86,97,102,1054
1412,1981-2010,59,51,59,50,68,70,99,92,65,52,70,70,804
1420,1981-2010,45,41,48,42,63,58,65,57,53,55,49,54,629
1426,1981-2010,46,39,45,36,57,58,70,62,47,35,45,51,592
1429,1981-2010,52,42,47,37,54,73,64,66,59,49,54,57,653
1432,1981-2010,63,58,78,67,107,127,143,122,95,70,74,76,1080
1435,1981-2010,115,95,102,76,75,82,99,89,100,97,110,137,1176
1440,1981-2010,61,66,75,85,118,107,118,89,88,92,84,96,1079
1443,1981-2010,47,51,68,74,110,95,94,85,90,76,65,79,934
1450,1981-2010,51,54,67,76,106,93,99,89,89,81,71,75,950
1451,1981-2010,72,51,65,41,63,84,93,87,79,86,81,73,875
1453,1981-2010,31,29,43,42,61,62,72,59,48,35,45,40,567
1458,1981-2010,63,52,60,44,70,78,84,69,58,61,63,71,772
1459,1981-2010,68,64,97,79,120,154,160,150,112,80,82,88,1253
1463,1981-2010,68,58,70,55,81,84,90,76,65,74,66,77,864
1464,1981-2010,56,45,52,44,60,70,76,46,61,58,56,63,686
1466,1981-2010,61,49,55,47,69,84,93,69,60,61,57,65,769
1468,1981-2010,183,154,164,106,137,114,120,106,109,146,155,197,1690
1473,1981-2010,55,52,56,48,75,78,94,78,63,59,64,67,789
1474,1981-2010,105,79,90,56,83,98,111,103,86,82,86,109,1086
1482,1981-2010,40,34,44,38,51,55,62,56,46,35,45,49,555
1488,1981-2010,60,53,61,54,62,64,66,62,54,52,58,67,711
1494,1981-2010,73,49,59,41,57,94,94,93,90,103,81,73,905
1495,1981-2010,47,38,42,38,51,62,65,62,51,45,48,51,600
1497,1981-2010,46,37,45,34,56,60,57,60,46,38,46,52,576
1498,1981-2010,56,43,51,46,65,68,71,60,60,56,55,59,688
1501,1981-2010,71,51,63,46,57,83,79,75,75,68,65,75,807
1503,1981-2010,70,49,63,45,57,78,72,75,72,65,65,73,784
1514,1981-2010,55,44,51,36,58,67,57,59,50,45,50,57,629
1516,1981-2010,44,38,46,42,63,75,87,97,47,44,51,50,684
1517,1981-2010,45,37,44,35,52,55,67,57,46,35,43,51,568
1518,1981-2010,63,53,64,53,74,93,109,97,72,63,60,73,874
1519,1981-2010,45,37,44,37,57,51,69,68,48,34,47,48,585
1525,1981-2010,57,47,62,55,78,94,113,94,73,64,57,63,857
1526,1981-2010,54,44,53,43,64,56,71,61,54,56,54,60,671
1528,1981-2010,73,58,65,49,73,89,89,91,67,68,66,81,869
